step,active_trains,avg_speed,congestion_index,overtake_events,junction_conflicts,dynamic_switches
0,0,0,0,0,0,0
1,1,0.0,1.0,0,0,0
2,1,1.0,0.9772727272727273,0,0,0
3,1,2.0,0.9545454545454546,0,0,0
4,1,3.0,0.9318181818181819,0,0,0
5,1,4.0,0.9090909090909091,0,0,0
6,1,5.0,0.8863636363636364,0,0,0
7,1,6.0,0.8636363636363636,0,0,0
8,1,7.0,0.8409090909090909,0,0,0
9,1,8.0,0.8181818181818181,0,0,0
10,1,8.801666666666666,0.7999621212121213,0,0,0
11,1,7.801666666666666,0.822689393939394,0,0,0
12,1,6.801666666666666,0.8454166666666667,0,0,0
13,1,5.801666666666666,0.8681439393939394,0,0,0
14,1,4.801666666666666,0.8908712121212121,0,0,0
15,1,3.801666666666666,0.9135984848484848,0,0,0
16,1,3.24,0.9263636363636364,0,0,0
17,1,3.24,0.9263636363636364,0,0,0
18,1,3.24,0.9263636363636364,0,0,0
19,1,3.24,0.9263636363636364,0,0,0
20,1,3.24,0.9263636363636364,0,0,0
21,1,3.24,0.9263636363636364,0,0,0
22,1,3.14,0.9286363636363636,0,0,0
23,1,3.14,0.9286363636363636,0,0,0
24,1,3.14,0.9286363636363636,0,0,0
25,1,3.14,0.9286363636363636,0,0,0
26,1,3.14,0.9286363636363636,0,0,0
27,1,3.14,0.9286363636363636,0,0,0
28,1,3.14,0.9286363636363636,0,0,0
29,1,3.14,0.9286363636363636,0,0,0
30,1,3.14,0.9286363636363636,0,0,0
31,1,3.14,0.9286363636363636,0,0,0
32,1,3.14,0.9286363636363636,0,0,0
33,1,3.14,0.9286363636363636,0,0,0
34,1,3.14,0.9286363636363636,0,0,0
35,1,3.14,0.9286363636363636,0,0,0
36,1,3.14,0.9286363636363636,0,0,0
37,1,3.14,0.9286363636363636,0,0,0
38,1,3.14,0.9286363636363636,0,0,0
39,1,3.14,0.9286363636363636,0,0,0
40,1,3.14,0.9286363636363636,0,0,0
41,1,3.14,0.9286363636363636,0,0,0
42,1,3.14,0.9286363636363636,0,0,0
43,1,3.14,0.9286363636363636,0,0,0
44,1,3.14,0.9286363636363636,0,0,0
45,1,3.14,0.9286363636363636,0,0,0
46,1,3.14,0.9286363636363636,0,0,0
47,1,3.14,0.9286363636363636,0,0,0
48,1,3.14,0.9286363636363636,0,0,0
49,1,3.14,0.9286363636363636,0,0,0
50,1,3.14,0.9286363636363636,0,0,0
51,1,3.14,0.9286363636363636,0,0,0
52,1,3.14,0.9286363636363636,0,0,0
53,1,3.14,0.9286363636363636,0,0,0
54,1,3.14,0.9286363636363636,0,0,0
55,1,3.14,0.9286363636363636,0,0,0
56,1,3.14,0.9286363636363636,0,0,0
57,1,3.14,0.9286363636363636,0,0,0
58,1,3.14,0.9286363636363636,0,0,0
59,1,3.14,0.9286363636363636,0,0,0
60,1,3.14,0.9286363636363636,0,0,0
61,1,3.14,0.9286363636363636,0,0,0
62,1,3.14,0.9286363636363636,0,0,0
63,1,3.14,0.9286363636363636,0,0,0
64,1,3.14,0.9286363636363636,0,0,0
65,1,3.14,0.9286363636363636,0,0,0
66,1,3.14,0.9286363636363636,0,0,0
67,1,3.14,0.9286363636363636,0,0,0
68,1,3.14,0.9286363636363636,0,0,0
69,1,3.14,0.9286363636363636,0,0,0
70,1,3.14,0.9286363636363636,0,0,0
71,1,3.14,0.9286363636363636,0,0,0
72,1,3.14,0.9286363636363636,0,0,0
73,1,3.14,0.9286363636363636,0,0,0
74,1,3.14,0.9286363636363636,0,0,0
75,1,3.14,0.9286363636363636,0,0,0
76,1,3.14,0.9286363636363636,0,0,0
77,1,3.14,0.9286363636363636,0,0,0
78,1,3.14,0.9286363636363636,0,0,0
79,1,3.14,0.9286363636363636,0,0,0
80,1,3.14,0.9286363636363636,0,0,0
81,1,3.14,0.9286363636363636,0,0,0
82,1,3.14,0.9286363636363636,0,0,0
83,1,3.14,0.9286363636363636,0,0,0
84,1,3.14,0.9286363636363636,0,0,0
85,1,3.14,0.9286363636363636,0,0,0
86,1,3.14,0.9286363636363636,0,0,0
87,1,3.14,0.9286363636363636,0,0,0
88,1,3.14,0.9286363636363636,0,0,0
89,1,3.14,0.9286363636363636,0,0,0
90,1,3.14,0.9286363636363636,0,0,0
91,1,3.14,0.9286363636363636,0,0,0
92,1,3.14,0.9286363636363636,0,0,0
93,1,3.14,0.9286363636363636,0,0,0
94,1,4.140000000000001,0.9059090909090909,0,0,0
95,1,5.140000000000001,0.8831818181818182,0,0,0
96,1,6.140000000000001,0.8604545454545455,0,0,0
97,1,7.140000000000001,0.8377272727272727,0,0,0
98,1,8.14,0.815,0,0,0
99,1,9.14,0.7922727272727272,0,0,0
100,1,10.14,0.7695454545454545,0,0,0
101,1,11.14,0.7468181818181818,0,0,0
102,1,12.14,0.7240909090909091,0,0,0
103,1,13.14,0.7013636363636364,0,0,0
104,1,14.14,0.6786363636363637,0,0,0
105,1,15.14,0.6559090909090909,0,0,0
106,1,16.14,0.6331818181818182,0,0,0
107,1,17.14,0.6104545454545454,0,0,0
108,1,18.14,0.5877272727272727,0,0,0
109,1,19.14,0.565,0,0,0
110,1,20.14,0.5422727272727272,0,0,0
111,1,21.14,0.5195454545454545,0,0,0
112,1,22.14,0.4968181818181818,0,0,0
113,1,23.14,0.4740909090909091,0,0,0
114,1,24.14,0.4513636363636363,0,0,0
115,1,25.14,0.4286363636363636,0,0,0
116,1,26.14,0.4059090909090909,0,0,0
117,1,27.14,0.3831818181818182,0,0,0
118,1,28.14,0.36045454545454547,0,0,0
119,1,29.14,0.33772727272727276,0,0,0
120,1,30.0,0.31818181818181823,0,0,0
121,1,30.0,0.31818181818181823,0,0,0
122,1,30.0,0.31818181818181823,0,0,0
123,1,30.0,0.31818181818181823,0,0,0
124,1,30.0,0.31818181818181823,0,0,0
125,1,30.0,0.31818181818181823,0,0,0
126,1,30.0,0.31818181818181823,0,0,0
127,1,30.0,0.31818181818181823,0,0,0
128,1,30.0,0.31818181818181823,0,0,0
129,1,30.0,0.31818181818181823,0,0,0
130,1,30.0,0.31818181818181823,0,0,0
131,1,30.0,0.31818181818181823,0,0,0
132,1,30.0,0.31818181818181823,0,0,0
133,1,30.0,0.31818181818181823,0,0,0
134,1,30.0,0.31818181818181823,0,0,0
135,1,30.0,0.31818181818181823,0,0,0
136,1,30.0,0.31818181818181823,0,0,0
137,1,30.0,0.31818181818181823,0,0,0
138,1,30.0,0.31818181818181823,0,0,0
139,1,30.0,0.31818181818181823,0,0,0
140,1,30.0,0.31818181818181823,0,0,0
141,1,30.0,0.31818181818181823,0,0,0
142,1,30.0,0.31818181818181823,0,0,0
143,1,30.0,0.31818181818181823,0,0,0
144,1,30.0,0.31818181818181823,0,0,0
145,1,30.0,0.31818181818181823,0,0,0
146,1,30.0,0.31818181818181823,0,0,0
147,1,30.0,0.31818181818181823,0,0,0
148,1,30.0,0.31818181818181823,0,0,0
149,1,30.0,0.31818181818181823,0,0,0
150,1,30.0,0.31818181818181823,0,0,0
151,1,30.0,0.31818181818181823,0,0,0
152,1,30.0,0.31818181818181823,0,0,0
153,1,30.0,0.31818181818181823,0,0,0
154,1,30.0,0.31818181818181823,0,0,0
155,1,30.0,0.31818181818181823,0,0,0
156,1,30.0,0.31818181818181823,0,0,0
157,1,30.0,0.31818181818181823,0,0,0
158,1,30.0,0.31818181818181823,0,0,0
159,1,30.0,0.31818181818181823,0,0,0
160,1,30.0,0.31818181818181823,0,0,0
161,1,30.0,0.31818181818181823,0,0,0
162,1,30.0,0.31818181818181823,0,0,0
163,1,30.0,0.31818181818181823,0,0,0
164,1,30.0,0.31818181818181823,0,0,0
165,1,30.0,0.31818181818181823,0,0,0
166,1,30.0,0.31818181818181823,0,0,0
167,1,30.0,0.31818181818181823,0,0,0
168,1,30.0,0.31818181818181823,0,0,0
169,1,30.0,0.31818181818181823,0,0,0
170,1,30.0,0.31818181818181823,0,0,0
171,1,30.0,0.31818181818181823,0,0,0
172,1,30.0,0.31818181818181823,0,0,0
173,1,30.0,0.31818181818181823,0,0,0
174,1,30.0,0.31818181818181823,0,0,0
175,1,30.0,0.31818181818181823,0,0,0
176,1,30.0,0.31818181818181823,0,0,0
177,1,30.0,0.31818181818181823,0,0,0
178,1,30.0,0.31818181818181823,0,0,0
179,1,30.0,0.31818181818181823,0,0,0
180,1,30.0,0.31818181818181823,0,0,0
181,1,30.0,0.31818181818181823,0,0,0
182,1,30.0,0.31818181818181823,0,0,0
183,1,30.0,0.31818181818181823,0,0,0
184,1,30.0,0.31818181818181823,0,0,0
185,1,30.0,0.31818181818181823,0,0,0
186,1,30.0,0.31818181818181823,0,0,0
187,1,30.0,0.31818181818181823,0,0,0
188,1,30.0,0.31818181818181823,0,0,0
189,1,30.0,0.31818181818181823,0,0,0
190,1,30.0,0.31818181818181823,0,0,0
191,1,30.0,0.31818181818181823,0,0,0
192,1,30.0,0.31818181818181823,0,0,0
193,1,30.0,0.31818181818181823,0,0,0
194,1,30.0,0.31818181818181823,0,0,0
195,1,30.0,0.31818181818181823,0,0,0
196,1,30.0,0.31818181818181823,0,0,0
197,1,30.0,0.31818181818181823,0,0,0
198,1,30.0,0.31818181818181823,0,0,0
199,1,30.0,0.31818181818181823,0,0,0
200,1,30.0,0.31818181818181823,0,0,0
201,1,30.0,0.31818181818181823,0,0,0
202,1,30.0,0.31818181818181823,0,0,0
203,1,30.0,0.31818181818181823,0,0,0
204,1,30.0,0.31818181818181823,0,0,0
205,1,30.0,0.31818181818181823,0,0,0
206,1,30.0,0.31818181818181823,0,0,0
207,1,30.0,0.31818181818181823,0,0,0
208,1,30.0,0.31818181818181823,0,0,0
209,1,30.0,0.31818181818181823,0,0,0
210,1,30.0,0.31818181818181823,0,0,0
211,1,30.0,0.31818181818181823,0,0,0
212,1,30.0,0.31818181818181823,0,0,0
213,1,30.0,0.31818181818181823,0,0,0
214,1,30.0,0.31818181818181823,0,0,0
215,1,30.0,0.31818181818181823,0,0,0
216,1,30.0,0.31818181818181823,0,0,0
217,1,30.0,0.31818181818181823,0,0,0
218,1,30.0,0.31818181818181823,0,0,0
219,1,30.0,0.31818181818181823,0,0,0
220,1,30.0,0.31818181818181823,0,0,0
221,1,30.0,0.31818181818181823,0,0,0
222,1,30.0,0.31818181818181823,0,0,0
223,1,30.0,0.31818181818181823,0,0,0
224,1,30.0,0.31818181818181823,0,0,0
225,1,30.0,0.31818181818181823,0,0,0
226,1,30.0,0.31818181818181823,0,0,0
227,1,30.0,0.31818181818181823,0,0,0
228,1,30.0,0.31818181818181823,0,0,0
229,1,30.0,0.31818181818181823,0,0,0
230,1,30.0,0.31818181818181823,0,0,0
231,1,30.0,0.31818181818181823,0,0,0
232,1,30.0,0.31818181818181823,0,0,0
233,1,30.0,0.31818181818181823,0,0,0
234,1,30.0,0.31818181818181823,0,0,0
235,1,30.0,0.31818181818181823,0,0,0
236,1,30.0,0.31818181818181823,0,0,0
237,1,30.0,0.31818181818181823,0,0,0
238,1,30.0,0.31818181818181823,0,0,0
239,1,30.0,0.31818181818181823,0,0,0
240,1,30.0,0.31818181818181823,0,0,0
241,1,30.0,0.31818181818181823,0,0,0
242,1,30.0,0.31818181818181823,0,0,0
243,1,30.0,0.31818181818181823,0,0,0
244,1,30.0,0.31818181818181823,0,0,0
245,1,30.0,0.31818181818181823,0,0,0
246,1,30.0,0.31818181818181823,0,0,0
247,1,30.0,0.31818181818181823,0,0,0
248,1,30.0,0.31818181818181823,0,0,0
249,1,30.0,0.31818181818181823,0,0,0
250,1,30.0,0.31818181818181823,0,0,0
251,1,30.0,0.31818181818181823,0,0,0
252,1,30.0,0.31818181818181823,0,0,0
253,1,30.0,0.31818181818181823,0,0,0
254,1,30.0,0.31818181818181823,0,0,0
255,1,30.0,0.31818181818181823,0,0,0
256,1,30.0,0.31818181818181823,0,0,0
257,1,30.0,0.31818181818181823,0,0,0
258,1,30.0,0.31818181818181823,0,0,0
259,1,30.0,0.31818181818181823,0,0,0
260,1,30.0,0.31818181818181823,0,0,0
261,2,15.0,0.6590909090909092,0,0,0
262,2,15.5,0.6477272727272727,0,0,0
263,2,16.0,0.6363636363636364,0,0,0
264,2,16.5,0.625,0,0,0
265,2,17.0,0.6136363636363636,0,0,0
